Year,Facility Name,Sample Station Name ,Latitude,Longitude,Sample Type en,Sample Type fr,Substance Name en,Substance Name fr,Statistical Quantity en,Statistical Quantity fr,energy_below_1_mev,Result,Units
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0.146,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.007,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.055,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.027,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.001,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0017,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0007,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.162,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.038,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0.063,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.004,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.036,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.02,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.002,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0019,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0007,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.226,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.057,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.031,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.0015,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0013,GBq/yr
