Year | Année,Facility Name | Nom de l'installation,Sample Station Name | Nom de la station d'échantillonnage,Latitude | Latitude,Longitude | Longitude,Sample Type (English) | Type d'échantillon (anglais),Sample Type (French) | Type d'échantillon (français),Substance Name (English) | Nom de substance (anglais),Substance Name (French) | Nom de substance (français),Statistical Quantity (English) | Quantité statistique (anglais),Statistical Quantity (French) | Quantité statistique (français),<,Result | Résultat,Units | Unités
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,167.85,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,173.33,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,174.62,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,219.05,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,115.31,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,115.12,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,157.79,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,74.42,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,84.19,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,73.49,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,146.54,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,130.3,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,169.48,GBq
