"year","facility_name","sample_station_name","latitude","longitude","sample_type_en","sample_type_fr","substance_name_en","substance_name_fr","statistical_quantity_en","statistical_quantity_fr","energy_below_1_mev","result","units","sample_category"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,174.62,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,219.05,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,115.31,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,115.12,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,157.79,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,74.42,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,84.19,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,73.49,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,146.54,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,130.3,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,169.48,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,120.47,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,232.95,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,80.13,"GBq","Abiotic"
